[2023/03/31 01:21:15] - Namespace(alpha=8, batch_m=0.75, batch_size=128, data_dir='../data/tiny-imagenet-200', delta_init='random', epochs=110, epsilon=8, inner_gamma=0.05, lamda=0.025, log='TDAT.log', lr_max=0.1, lr_min=0.0, lr_schedule='multistep', milestone1=100, milestone2=105, model='ResNet18', momentum=0.9, momentum_decay=0.3, out_dir='TDAT', outer_factor=0.05, save_epoch=99, seed=0, weight_decay=0.0005)
[2023/03/31 01:21:21] - Epoch 	 Seconds 	 LR 	 Inner Loss 	 Train Loss 	 Train Acc 	 Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc
[2023/03/31 04:15:25] - 28 	 259.1 	 	 0.1000 	 4.3297 	 	 4.6287 	 0.2681 	 3.4242 	 	 0.3525 	 3.7272 	 0.1624
[2023/03/31 04:21:25] - 29 	 258.8 	 	 0.1000 	 4.3545 	 	 4.6464 	 0.2695 	 3.3784 	 	 0.3562 	 3.6828 	 0.1677
[2023/03/31 04:27:24] - 30 	 258.7 	 	 0.1000 	 4.3779 	 	 4.6631 	 0.2710 	 3.4455 	 	 0.3447 	 3.7531 	 0.1544
[2023/03/31 04:33:24] - 31 	 258.8 	 	 0.1000 	 4.4007 	 	 4.6781 	 0.2720 	 3.4307 	 	 0.3450 	 3.7345 	 0.1626
[2023/03/31 04:39:24] - 32 	 259.1 	 	 0.1000 	 4.4237 	 	 4.6942 	 0.2735 	 3.4759 	 	 0.3411 	 3.7767 	 0.1595
[2023/03/31 04:45:24] - 33 	 259.3 	 	 0.1000 	 4.4467 	 	 4.7104 	 0.2748 	 3.4628 	 	 0.3443 	 3.7636 	 0.1556
[2023/03/31 04:51:24] - 34 	 259.0 	 	 0.1000 	 4.4671 	 	 4.7238 	 0.2773 	 3.4607 	 	 0.3641 	 3.7735 	 0.1697
[2023/03/31 04:57:24] - 35 	 258.8 	 	 0.1000 	 4.4905 	 	 4.7404 	 0.2757 	 3.4800 	 	 0.3557 	 3.7889 	 0.1651
[2023/03/31 05:03:23] - 36 	 258.6 	 	 0.1000 	 4.5122 	 	 4.7550 	 0.2770 	 3.5093 	 	 0.3394 	 3.7974 	 0.1575
[2023/03/31 05:09:23] - 37 	 258.6 	 	 0.1000 	 4.5339 	 	 4.7706 	 0.2776 	 3.4738 	 	 0.3541 	 3.7820 	 0.1677
