[2023/03/30 06:17:15] - Namespace(alpha=8, batch_m=0.75, batch_size=128, data_dir='../data', delta_init='random', epochs=110, epsilon=8, inner_gamma=0.15 lamda=0.6, log='TDAT.log', lr_max=0.1, lr_min=0.0, lr_schedule='multistep', milestone1=100, milestone2=105, model='ResNet18', momentum=0.9, out_dir='TDAT', outer_gamma=0.15, save_epoch=104, seed=0, weight_decay=0.0005)
[2023/03/30 06:17:17] - Epoch 	 Seconds 	 LR 	 Inner Loss 	 Train Loss 	 Train Acc 	 Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc
[2023/03/30 07:19:12] - 29 	 77.7 	 	 0.1000 	 1.9634 	 	 2.0333 	 0.5442 	 1.3458 	 	 0.7157 	 1.5553 	 0.4515
[2023/03/30 07:21:16] - 30 	 73.7 	 	 0.1000 	 1.9750 	 	 2.0408 	 0.5477 	 1.3994 	 	 0.6982 	 1.5935 	 0.4361
[2023/03/30 07:23:23] - 31 	 75.4 	 	 0.1000 	 1.9876 	 	 2.0493 	 0.5488 	 1.4034 	 	 0.7250 	 1.6044 	 0.4468
[2023/03/30 07:25:36] - 32 	 80.6 	 	 0.1000 	 1.9978 	 	 2.0556 	 0.5518 	 1.4122 	 	 0.6817 	 1.6036 	 0.4334
[2023/03/30 07:27:40] - 33 	 73.3 	 	 0.1000 	 2.0091 	 	 2.0622 	 0.5543 	 1.3574 	 	 0.7246 	 1.5621 	 0.4555
[2023/03/30 07:29:29] - 34 	 66.2 	 	 0.1000 	 2.0206 	 	 2.0702 	 0.5536 	 1.4667 	 	 0.6751 	 1.6537 	 0.4065
[2023/03/30 07:31:24] - 35 	 64.6 	 	 0.1000 	 2.0319 	 	 2.0778 	 0.5550 	 1.4311 	 	 0.7207 	 1.6276 	 0.4435
[2023/03/30 07:33:31] - 36 	 76.0 	 	 0.1000 	 2.0415 	 	 2.0842 	 0.5570 	 1.4503 	 	 0.7006 	 1.6353 	 0.4627
[2023/03/30 07:35:39] - 37 	 74.3 	 	 0.1000 	 2.0529 	 	 2.0919 	 0.5583 	 1.4704 	 	 0.7122 	 1.6551 	 0.4607
[2023/03/30 07:37:46] - 38 	 76.6 	 	 0.1000 	 2.0617 	 	 2.0976 	 0.5641 	 1.4532 	 	 0.7254 	 1.6382 	 0.4522
[2023/03/30 07:39:51] - 39 	 74.9 	 	 0.1000 	 2.0722 	 	 2.1050 	 0.5596 	 1.4405 	 	 0.7326 	 1.6388 	 0.4541
[2023/03/30 07:42:00] - 40 	 75.1 	 	 0.1000 	 2.0809 	 	 2.1107 	 0.5635 	 1.4702 	 	 0.7350 	 1.6540 	 0.4617
[2023/03/30 07:44:06] - 41 	 75.2 	 	 0.1000 	 2.0907 	 	 2.1177 	 0.5642 	 1.4845 	 	 0.7136 	 1.6679 	 0.4675
[2023/03/30 07:46:14] - 42 	 76.8 	 	 0.1000 	 2.0980 	 	 2.1219 	 0.5664 	 1.5087 	 	 0.7020 	 1.6830 	 0.4486
[2023/03/30 07:48:23] - 43 	 77.8 	 	 0.1000 	 2.1074 	 	 2.1282 	 0.5658 	 1.5131 	 	 0.7100 	 1.6822 	 0.4577
[2023/03/30 07:49:59] - 44 	 60.2 	 	 0.1000 	 2.1160 	 	 2.1349 	 0.5661 	 1.5214 	 	 0.7058 	 1.6980 	 0.4532
[2023/03/30 07:51:56] - 45 	 66.2 	 	 0.1000 	 2.1239 	 	 2.1396 	 0.5691 	 1.5242 	 	 0.7091 	 1.6999 	 0.4592
[2023/03/30 07:54:04] - 46 	 75.9 	 	 0.1000 	 2.1320 	 	 2.1454 	 0.5691 	 1.5574 	 	 0.6965 	 1.7265 	 0.4612
[2023/03/30 07:56:08] - 47 	 73.5 	 	 0.1000 	 2.1396 	 	 2.1509 	 0.5694 	 1.5470 	 	 0.7273 	 1.7218 	 0.4624
[2023/03/30 07:58:15] - 48 	 75.4 	 	 0.1000 	 2.1473 	 	 2.1561 	 0.5715 	 1.5830 	 	 0.7324 	 1.7591 	 0.4679
[2023/03/30 08:00:26] - 49 	 78.7 	 	 0.1000 	 2.1544 	 	 2.1611 	 0.5704 	 1.5617 	 	 0.7024 	 1.7348 	 0.4449
[2023/03/30 08:02:33] - 50 	 75.2 	 	 0.1000 	 2.1613 	 	 2.1660 	 0.5721 	 1.6026 	 	 0.7082 	 1.7702 	 0.4671
[2023/03/30 08:04:41] - 51 	 75.9 	 	 0.1000 	 2.1684 	 	 2.1712 	 0.5718 	 1.6361 	 	 0.6912 	 1.7923 	 0.4557
[2023/03/30 08:06:53] - 52 	 79.6 	 	 0.1000 	 2.1747 	 	 2.1755 	 0.5747 	 1.5911 	 	 0.7124 	 1.7532 	 0.4715
[2023/03/30 08:08:59] - 53 	 74.6 	 	 0.1000 	 2.1813 	 	 2.1801 	 0.5754 	 1.6037 	 	 0.7029 	 1.7705 	 0.4300
[2023/03/30 08:10:28] - 54 	 57.6 	 	 0.1000 	 2.1878 	 	 2.1847 	 0.5745 	 1.6019 	 	 0.7318 	 1.7718 	 0.4460
[2023/03/30 08:12:38] - 55 	 79.0 	 	 0.1000 	 2.1936 	 	 2.1891 	 0.5753 	 1.6228 	 	 0.7167 	 1.7775 	 0.4564
[2023/03/30 08:14:44] - 56 	 75.0 	 	 0.1000 	 2.1992 	 	 2.1930 	 0.5764 	 1.6562 	 	 0.7274 	 1.8141 	 0.4761
[2023/03/30 08:16:54] - 57 	 77.1 	 	 0.1000 	 2.2051 	 	 2.1975 	 0.5794 	 1.6403 	 	 0.7114 	 1.7914 	 0.4590
[2023/03/30 08:19:03] - 58 	 76.2 	 	 0.1000 	 2.2109 	 	 2.2019 	 0.5754 	 1.6367 	 	 0.7189 	 1.7935 	 0.4712
[2023/03/30 08:21:08] - 59 	 74.6 	 	 0.1000 	 2.2160 	 	 2.2056 	 0.5778 	 1.6650 	 	 0.7008 	 1.8115 	 0.4571
[2023/03/30 08:23:19] - 60 	 79.8 	 	 0.1000 	 2.2212 	 	 2.2096 	 0.5791 	 1.6599 	 	 0.7221 	 1.8110 	 0.4791
[2023/03/30 08:25:26] - 61 	 75.8 	 	 0.1000 	 2.2265 	 	 2.2135 	 0.5788 	 1.6765 	 	 0.7186 	 1.8272 	 0.4647
[2023/03/30 08:27:33] - 62 	 74.8 	 	 0.1000 	 2.2309 	 	 2.2166 	 0.5824 	 1.6935 	 	 0.7053 	 1.8361 	 0.4692
[2023/03/30 08:29:29] - 63 	 81.5 	 	 0.1000 	 2.2360 	 	 2.2206 	 0.5781 	 1.6970 	 	 0.7199 	 1.8434 	 0.4616
[2023/03/30 08:31:13] - 64 	 53.0 	 	 0.1000 	 2.2402 	 	 2.2237 	 0.5822 	 1.6927 	 	 0.7349 	 1.8353 	 0.4751
[2023/03/30 08:33:19] - 65 	 75.0 	 	 0.1000 	 2.2448 	 	 2.2274 	 0.5828 	 1.7158 	 	 0.7339 	 1.8563 	 0.4799
[2023/03/30 08:35:33] - 66 	 82.1 	 	 0.1000 	 2.2487 	 	 2.2304 	 0.5852 	 1.7772 	 	 0.6930 	 1.8997 	 0.4697
